Organization Name,Status,Custom Status,Organization Class,AxisCare Organization ID,Address1,Address2,City,Created By,Created In AxisCare,Email,Fax,Mailing/Billing Address,Mailing/Billing Address (line 1),Mailing/Billing Address (line 2),Mailing/Billing City,Mailing/Billing State,Mailing/Billing Zip Code,Marketing Notes,Mobile Phone,Office Phone,Organization Notes,State,Zip Code
A Care Connection,Active,Active,Home Health Agency,142,,,,,3/17/2026,,9048995521,,,,,,,,,9048995520,,,
Allegro Fleming Island,Active,Active,"Assisted Living Facility, Indp. Living Facility, Mental Health / Cognitive Care Facilities",98,3651 US Highway 17,,Fleming Island,,7/8/2025,,," 3651 US Highway 17,   Fleming Island, FL  32003",3651 US Highway 17,,Fleming Island,FL,32003,,,904-278-4442,,FL,32003
Allegro Senior Living,Active,Active,"Assisted Living Facility, Indp. Living Facility",22,1101 Plantation Island Drive,Suite 110,Saint Augustine,,11/13/2024,,," 1101 Plantation Island Drive,  Suite 110,  Saint Augustine , FL  32080",1101 Plantation Island Drive,Suite 110,Saint Augustine,FL,32080,,,904-664-2637,,FL,32080
Alzheimer's Association,Active,,Non-Profit,133,,,,,3/17/2026,,,,,,,,,,,,,,
Amada Senior Care,Active,Active,Home Health Agency,146,13400 Sutton Park Drive S,#1402,Jacksonville,,3/19/2026,,," 13400 Sutton Park Drive S,  #1402,  Jacksonville, FL  32224",13400 Sutton Park Drive S,#1402,Jacksonville,FL,32224,,9047123168,9045127747,,FL,32224
American In Home Care,Active,Active,Home Health Agency,155,9471 Baymeadows Road,#401,Jacksonville,,3/23/2026,,," 9471 Baymeadows Road ,  #401,  Jacksonville, FL  32256",9471 Baymeadows Road,#401,Jacksonville,FL,32256,,,,,FL,32256
American Telephysicians,Active,Active,Skilled Service Providers,128,10175 Fortune Parkway,Suite 302,Jacksonville,,3/17/2026,,," 10175 Fortune Parkway,  Suite 302,  Jacksonville, FL  32256",10175 Fortune Parkway,Suite 302,Jacksonville,FL,32256,,,,"Mission: To design and deliver integrated healthcare ecosystems that empower physicians, enhance patient experience, and transform health systems through innovation and partnership",FL,32256
Anthem Lakes Senior Living,Active,Active,"Assisted Living Facility, Mental Health / Cognitive Care Facilities",58,905 Assisi Lane,,Jacksonville,,6/10/2025,info@anthemlakes.com,," 905 Assisi Lane,   Jacksonville, FL  32233",905 Assisi Lane,,Jacksonville,FL,32233,,,904-447-5520,,FL,32233
Artisan Lakes,Active,Active,55+ Independent Living Communities,88,363 Cobbler Trail,,Ponte Vedra Beach,,7/7/2025,,," 363 Cobbler Trail,   Ponte Vedra Beach, FL  32081",363 Cobbler Trail,,Ponte Vedra Beach,FL,32081,,,904-758-0477,,FL,32081
Ascension St. Vincent's Riverside,Active,Active,Hospital,122,1 Shircliff Way,,Jacksonville,,3/10/2026,,," 1 Shircliff Way,   Jacksonville, FL  32204",1 Shircliff Way,,Jacksonville,FL,32204,,,(904) 308-7300,,FL,32204
Assisting Hands Home Care- South Jax & Clay County,Active,Active,Home Health Agency,125,1950 Miller,suite 6,Orange Park,,3/17/2026,,," 1950 Miller ,  suite 6,  Orange Park, FL  32073",1950 Miller,suite 6,Orange Park,FL,32073,,,,,FL,32073
Aston Health,Active,Active,Rehabilitation  / PT Facilites,118,1625 Lime Street,,Fernandina Beach,,3/5/2026,,,,,,,,,,,9042610771,,FL,32034
